epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1609.91,1.01072,0.93158,1.29556,0.83772,0.60307,0.66782,0.51007,0.92769,1.04861,1.33442,0.000402433,0.000402433,0.000402433
43,1647.95,1.00218,0.9437,1.28888,0.86091,0.63226,0.65814,0.46766,0.86867,1.02011,1.32791,0.000397977,0.000397977,0.000397977
44,1686.03,1.00629,0.9402,1.30076,0.87442,0.61398,0.65723,0.49538,0.88834,0.99768,1.30299,0.000393447,0.000393447,0.000393447
45,1723.97,0.96586,0.88773,1.26396,0.67811,0.7415,0.71365,0.54556,0.86829,0.96127,1.27974,0.000388847,0.000388847,0.000388847
46,1761.9,0.96876,0.89642,1.26485,0.82482,0.68517,0.69866,0.53871,0.91761,1.11855,1.34772,0.000384178,0.000384178,0.000384178
47,1799.91,0.99343,0.93016,1.28443,0.77367,0.70366,0.68425,0.52895,0.9082,0.98248,1.26973,0.000379443,0.000379443,0.000379443
48,1837.89,0.95787,0.86959,1.25456,0.73084,0.69983,0.68477,0.51777,0.88317,1.01505,1.30773,0.000374643,0.000374643,0.000374643
49,1875.83,0.96884,0.87595,1.26499,0.68159,0.72874,0.67337,0.51532,0.92222,1.19211,1.33078,0.000369782,0.000369782,0.000369782
50,1913.84,0.9669,0.86655,1.25856,0.79916,0.6246,0.67687,0.50191,0.87033,0.9899,1.26699,0.000364863,0.000364863,0.000364863
51,1951.75,0.94833,0.84405,1.24845,0.87532,0.67597,0.70077,0.54045,0.89856,1.15552,1.29766,0.000359886,0.000359886,0.000359886
52,1989.73,0.9323,0.81712,1.23276,0.64609,0.70085,0.71297,0.57114,0.83089,0.9909,1.24174,0.000354856,0.000354856,0.000354856
53,2028.12,0.95703,0.84058,1.24603,0.64409,0.62457,0.59901,0.46893,0.79296,1.1268,1.18188,0.000349774,0.000349774,0.000349774
